Instruction,Output,input_text
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.7 THz,"GaAs/AlGaAs quantum cascade lasers based on four quantum well structures operating at 4.7 THz are reported.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",149 K,"We have documented the successful display of InGaAs-based terahertz quantum cascade lasers operating at their maximum temperature of 149 K in our report.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4 THz,"Through state-of-the-art techniques, we have produced a terahertz quantum-cascade laser that works at 230 K in pulsed mode and 150 K in continuous wave mode at approximately 4 THz."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6.7 THz,"At the lasing frequency of 6.7 THz, 100 mW of peak optical power was measured at 3 K, and approximately 2 mW could still be detected at 190 K."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",1.1 Mw,"Testing with a thermopile detector (Manufacturer D, model MP100) near the cryostat revealed a peak continuous wave power of 1.1 mW emitted from a single facet and collected through a Winston cone with a circular aperture size of 1.00 mm diameter."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",186 K,"Until a heat-sink temperature of 186 K, the functionality of resonant-phonon terahertz quantum-cascade lasers has been demonstrated.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.11 THz,"We show that the optimal 2.9-mm-long device operating at 3.11 THz has a low threshold current density of 270 A/cm2 at 15 K.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","333 K, 88 K",The study compared the performance of the lasers at different temperatures and found optimal results at 333 K in pulsed mode and at 88 K in continuous-wave mode.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.5 Mw,"Operating at 8 K in continuous mode, the threshold current density is 900 A/cm2, and the peak power is approximately 3.5 mW."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon," In our experiment, the heat-sink temperature of the resonant-phonon terahertz quantum-cascade laser peaked at 112.5 K. "
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,A 3.1 THz quantum cascade laser (QCL) using a scattering-assisted injection and resonant-phonon depopulation model is shown to have high efficiency.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",100 Mw,The laser was able to produce an optical power of 100mW at 225K with a threshold current density of 2000 A/cm2 from a 400-mm-wide and 4-mm-long laser in cw operation.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.1 THz,"A scattering-assisted injection and resonant-phonon depopulation design scheme was successfully implemented in the demonstration of a 2.1 THz quantum cascade laser (QCL).		"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"At B = 17 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 188K for the devices with Cu waveguide."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6.8 THz,Researchers have successfully demonstrated GaAs/AlGaAs quantum cascade lasers based on three quantum wells that can operate at high frequencies up to 6.8 THz.
